size,implementation,operation,avg_time_ns
10,SinglyLinkedListNoTail,pushFront,1020
10,SinglyLinkedListNoTail,pushBack,1531
10,SinglyLinkedListNoTail,popFront,1599
10,SinglyLinkedListNoTail,popBack,1292
10,SinglyLinkedListNoTail,find,3542
10,SinglyLinkedListNoTail,erase(value),9552
10,SinglyLinkedListNoTail,erase(reference),1503
10,SinglyLinkedListNoTail,addAfter,937
10,SinglyLinkedListNoTail,addBefore,1137
100,SinglyLinkedListNoTail,pushFront,290
100,SinglyLinkedListNoTail,pushBack,2198
100,SinglyLinkedListNoTail,popFront,246
100,SinglyLinkedListNoTail,popBack,1442
100,SinglyLinkedListNoTail,find,2834
100,SinglyLinkedListNoTail,erase(value),6107
100,SinglyLinkedListNoTail,erase(reference),2191
100,SinglyLinkedListNoTail,addAfter,515
100,SinglyLinkedListNoTail,addBefore,1142
1000,SinglyLinkedListNoTail,pushFront,380
1000,SinglyLinkedListNoTail,pushBack,10941
1000,SinglyLinkedListNoTail,popFront,262
1000,SinglyLinkedListNoTail,popBack,14566
1000,SinglyLinkedListNoTail,find,14050
1000,SinglyLinkedListNoTail,erase(value),12254
1000,SinglyLinkedListNoTail,erase(reference),10760
1000,SinglyLinkedListNoTail,addAfter,335
1000,SinglyLinkedListNoTail,addBefore,4464
10000,SinglyLinkedListNoTail,pushFront,236
10000,SinglyLinkedListNoTail,pushBack,42915
10000,SinglyLinkedListNoTail,popFront,272
10000,SinglyLinkedListNoTail,popBack,37200
10000,SinglyLinkedListNoTail,find,65702
10000,SinglyLinkedListNoTail,erase(value),38667
10000,SinglyLinkedListNoTail,erase(reference),53157
10000,SinglyLinkedListNoTail,addAfter,798
10000,SinglyLinkedListNoTail,addBefore,7476
100000,SinglyLinkedListNoTail,pushFront,131
100000,SinglyLinkedListNoTail,pushBack,378672
100000,SinglyLinkedListNoTail,popFront,321
100000,SinglyLinkedListNoTail,popBack,335691
100000,SinglyLinkedListNoTail,find,178111
100000,SinglyLinkedListNoTail,erase(value),234005
100000,SinglyLinkedListNoTail,erase(reference),172443
100000,SinglyLinkedListNoTail,addAfter,573
100000,SinglyLinkedListNoTail,addBefore,107522
1000000,SinglyLinkedListNoTail,pushFront,258
1000000,SinglyLinkedListNoTail,pushBack,2692626
1000000,SinglyLinkedListNoTail,popFront,351
1000000,SinglyLinkedListNoTail,popBack,4481022
1000000,SinglyLinkedListNoTail,find,1484442
1000000,SinglyLinkedListNoTail,erase(value),1932237
1000000,SinglyLinkedListNoTail,erase(reference),1611521
1000000,SinglyLinkedListNoTail,addAfter,1543
1000000,SinglyLinkedListNoTail,addBefore,870498
10000000,SinglyLinkedListNoTail,pushFront,194
10000000,SinglyLinkedListNoTail,pushBack,29623922
10000000,SinglyLinkedListNoTail,popFront,410
10000000,SinglyLinkedListNoTail,popBack,37417978
10000000,SinglyLinkedListNoTail,find,12155994
10000000,SinglyLinkedListNoTail,erase(value),11825806
10000000,SinglyLinkedListNoTail,erase(reference),9902814
10000000,SinglyLinkedListNoTail,addAfter,4552
10000000,SinglyLinkedListNoTail,addBefore,6534528
10,SinglyLinkedListTail,pushFront,520
10,SinglyLinkedListTail,pushBack,769
10,SinglyLinkedListTail,popFront,830
10,SinglyLinkedListTail,popBack,831
10,SinglyLinkedListTail,find,1506
10,SinglyLinkedListTail,erase(value),6303
10,SinglyLinkedListTail,erase(reference),856
10,SinglyLinkedListTail,addAfter,649
10,SinglyLinkedListTail,addBefore,637
100,SinglyLinkedListTail,pushFront,448
100,SinglyLinkedListTail,pushBack,803
100,SinglyLinkedListTail,popFront,226
100,SinglyLinkedListTail,popBack,1312
100,SinglyLinkedListTail,find,2820
100,SinglyLinkedListTail,erase(value),6398
100,SinglyLinkedListTail,erase(reference),2042
100,SinglyLinkedListTail,addAfter,942
100,SinglyLinkedListTail,addBefore,1122
1000,SinglyLinkedListTail,pushFront,197
1000,SinglyLinkedListTail,pushBack,255
1000,SinglyLinkedListTail,popFront,230
1000,SinglyLinkedListTail,popBack,15468
1000,SinglyLinkedListTail,find,15680
1000,SinglyLinkedListTail,erase(value),11638
1000,SinglyLinkedListTail,erase(reference),13693
1000,SinglyLinkedListTail,addAfter,291
1000,SinglyLinkedListTail,addBefore,4241
10000,SinglyLinkedListTail,pushFront,273
10000,SinglyLinkedListTail,pushBack,489
10000,SinglyLinkedListTail,popFront,216
10000,SinglyLinkedListTail,popBack,31746
10000,SinglyLinkedListTail,find,89163
10000,SinglyLinkedListTail,erase(value),40531
10000,SinglyLinkedListTail,erase(reference),58401
10000,SinglyLinkedListTail,addAfter,590
10000,SinglyLinkedListTail,addBefore,5851
100000,SinglyLinkedListTail,pushFront,126
100000,SinglyLinkedListTail,pushBack,1092
100000,SinglyLinkedListTail,popFront,518
100000,SinglyLinkedListTail,popBack,1198939
100000,SinglyLinkedListTail,find,219212
100000,SinglyLinkedListTail,erase(value),252371
100000,SinglyLinkedListTail,erase(reference),247363
100000,SinglyLinkedListTail,addAfter,400
100000,SinglyLinkedListTail,addBefore,178591
1000000,SinglyLinkedListTail,pushFront,181
1000000,SinglyLinkedListTail,pushBack,4230
1000000,SinglyLinkedListTail,popFront,330
1000000,SinglyLinkedListTail,popBack,4435888
1000000,SinglyLinkedListTail,find,1478703
1000000,SinglyLinkedListTail,erase(value),1754724
1000000,SinglyLinkedListTail,erase(reference),1445387
1000000,SinglyLinkedListTail,addAfter,959
1000000,SinglyLinkedListTail,addBefore,937437
10000000,SinglyLinkedListTail,pushFront,142
10000000,SinglyLinkedListTail,pushBack,5528
10000000,SinglyLinkedListTail,popFront,240
10000000,SinglyLinkedListTail,popBack,42286028
10000000,SinglyLinkedListTail,find,16227572
10000000,SinglyLinkedListTail,erase(value),15856796
10000000,SinglyLinkedListTail,erase(reference),11815758
10000000,SinglyLinkedListTail,addAfter,1412
10000000,SinglyLinkedListTail,addBefore,11314828
10,DoublyLinkedListNoTail,pushFront,540
10,DoublyLinkedListNoTail,pushBack,2166
10,DoublyLinkedListNoTail,popFront,668
10,DoublyLinkedListNoTail,popBack,691
10,DoublyLinkedListNoTail,find,1433
10,DoublyLinkedListNoTail,erase(value),6767
10,DoublyLinkedListNoTail,erase(reference),478
10,DoublyLinkedListNoTail,addAfter,1575
10,DoublyLinkedListNoTail,addBefore,1669
100,DoublyLinkedListNoTail,pushFront,286
100,DoublyLinkedListNoTail,pushBack,2322
100,DoublyLinkedListNoTail,popFront,302
100,DoublyLinkedListNoTail,popBack,1334
100,DoublyLinkedListNoTail,find,3102
100,DoublyLinkedListNoTail,erase(value),4889
100,DoublyLinkedListNoTail,erase(reference),202
100,DoublyLinkedListNoTail,addAfter,485
100,DoublyLinkedListNoTail,addBefore,498
1000,DoublyLinkedListNoTail,pushFront,267
1000,DoublyLinkedListNoTail,pushBack,10168
1000,DoublyLinkedListNoTail,popFront,216
1000,DoublyLinkedListNoTail,popBack,14428
1000,DoublyLinkedListNoTail,find,13692
1000,DoublyLinkedListNoTail,erase(value),11671
1000,DoublyLinkedListNoTail,erase(reference),118
1000,DoublyLinkedListNoTail,addAfter,200
1000,DoublyLinkedListNoTail,addBefore,247
10000,DoublyLinkedListNoTail,pushFront,185
10000,DoublyLinkedListNoTail,pushBack,42668
10000,DoublyLinkedListNoTail,popFront,209
10000,DoublyLinkedListNoTail,popBack,28860
10000,DoublyLinkedListNoTail,find,87624
10000,DoublyLinkedListNoTail,erase(value),40950
10000,DoublyLinkedListNoTail,erase(reference),221
10000,DoublyLinkedListNoTail,addAfter,440
10000,DoublyLinkedListNoTail,addBefore,259
100000,DoublyLinkedListNoTail,pushFront,121
100000,DoublyLinkedListNoTail,pushBack,1215609
100000,DoublyLinkedListNoTail,popFront,302
100000,DoublyLinkedListNoTail,popBack,678792
100000,DoublyLinkedListNoTail,find,272807
100000,DoublyLinkedListNoTail,erase(value),1103466
100000,DoublyLinkedListNoTail,erase(reference),1021
100000,DoublyLinkedListNoTail,addAfter,349
100000,DoublyLinkedListNoTail,addBefore,1193
1000000,DoublyLinkedListNoTail,pushFront,182
1000000,DoublyLinkedListNoTail,pushBack,7600206
1000000,DoublyLinkedListNoTail,popFront,347
1000000,DoublyLinkedListNoTail,popBack,8321305
1000000,DoublyLinkedListNoTail,find,2102513
1000000,DoublyLinkedListNoTail,erase(value),3071834
1000000,DoublyLinkedListNoTail,erase(reference),2710
1000000,DoublyLinkedListNoTail,addAfter,832
1000000,DoublyLinkedListNoTail,addBefore,2106
10000000,DoublyLinkedListNoTail,pushFront,138
10000000,DoublyLinkedListNoTail,pushBack,83352070
10000000,DoublyLinkedListNoTail,popFront,238
10000000,DoublyLinkedListNoTail,popBack,78206074
10000000,DoublyLinkedListNoTail,find,24916422
10000000,DoublyLinkedListNoTail,erase(value),25256582
10000000,DoublyLinkedListNoTail,erase(reference),3532
10000000,DoublyLinkedListNoTail,addAfter,1348
10000000,DoublyLinkedListNoTail,addBefore,5974
10,DoublyLinkedListTail,pushFront,500
10,DoublyLinkedListTail,pushBack,769
10,DoublyLinkedListTail,popFront,645
10,DoublyLinkedListTail,popBack,838
10,DoublyLinkedListTail,find,1372
10,DoublyLinkedListTail,erase(value),6055
10,DoublyLinkedListTail,erase(reference),429
10,DoublyLinkedListTail,addAfter,631
10,DoublyLinkedListTail,addBefore,679
100,DoublyLinkedListTail,pushFront,254
100,DoublyLinkedListTail,pushBack,588
100,DoublyLinkedListTail,popFront,233
100,DoublyLinkedListTail,popBack,206
100,DoublyLinkedListTail,find,2875
100,DoublyLinkedListTail,erase(value),4953
100,DoublyLinkedListTail,erase(reference),138
100,DoublyLinkedListTail,addAfter,421
100,DoublyLinkedListTail,addBefore,318
1000,DoublyLinkedListTail,pushFront,245
1000,DoublyLinkedListTail,pushBack,294
1000,DoublyLinkedListTail,popFront,220
1000,DoublyLinkedListTail,popBack,421
1000,DoublyLinkedListTail,find,13111
1000,DoublyLinkedListTail,erase(value),11212
1000,DoublyLinkedListTail,erase(reference),125
1000,DoublyLinkedListTail,addAfter,343
1000,DoublyLinkedListTail,addBefore,294
10000,DoublyLinkedListTail,pushFront,130
10000,DoublyLinkedListTail,pushBack,496
10000,DoublyLinkedListTail,popFront,193
10000,DoublyLinkedListTail,popBack,345
10000,DoublyLinkedListTail,find,86794
10000,DoublyLinkedListTail,erase(value),807282
10000,DoublyLinkedListTail,erase(reference),160
10000,DoublyLinkedListTail,addAfter,722
10000,DoublyLinkedListTail,addBefore,181
100000,DoublyLinkedListTail,pushFront,120
100000,DoublyLinkedListTail,pushBack,1580
100000,DoublyLinkedListTail,popFront,222
100000,DoublyLinkedListTail,popBack,1096
100000,DoublyLinkedListTail,find,549375
100000,DoublyLinkedListTail,erase(value),205365
100000,DoublyLinkedListTail,erase(reference),537
100000,DoublyLinkedListTail,addAfter,316
100000,DoublyLinkedListTail,addBefore,360
1000000,DoublyLinkedListTail,pushFront,182
1000000,DoublyLinkedListTail,pushBack,5224
1000000,DoublyLinkedListTail,popFront,233
1000000,DoublyLinkedListTail,popBack,3653
1000000,DoublyLinkedListTail,find,1703725
1000000,DoublyLinkedListTail,erase(value),2113710
1000000,DoublyLinkedListTail,erase(reference),1180
1000000,DoublyLinkedListTail,addAfter,597
1000000,DoublyLinkedListTail,addBefore,566
10000000,DoublyLinkedListTail,pushFront,144
10000000,DoublyLinkedListTail,pushBack,5922
10000000,DoublyLinkedListTail,popFront,242
10000000,DoublyLinkedListTail,popBack,6282
10000000,DoublyLinkedListTail,find,15173152
10000000,DoublyLinkedListTail,erase(value),13891084
10000000,DoublyLinkedListTail,erase(reference),1214
10000000,DoublyLinkedListTail,addAfter,942
10000000,DoublyLinkedListTail,addBefore,1158
10,Queue,Enqueue,186
10,Queue,Dequeue,66
10,Queue,Front,133
10,Queue,Delete,168
10,Queue,Size,61
10,Queue,IsEmpty,62
100,Queue,Enqueue,170
100,Queue,Dequeue,75
100,Queue,Front,89
100,Queue,Delete,227
100,Queue,Size,59
100,Queue,IsEmpty,60
1000,Queue,Enqueue,452
1000,Queue,Dequeue,27
1000,Queue,Front,22
1000,Queue,Delete,1818
1000,Queue,Size,19
1000,Queue,IsEmpty,21
10000,Queue,Enqueue,46
10000,Queue,Dequeue,23
10000,Queue,Front,22
10000,Queue,Delete,47884
10000,Queue,Size,25
10000,Queue,IsEmpty,26
100000,Queue,Enqueue,42
100000,Queue,Dequeue,28
100000,Queue,Front,49
100000,Queue,Delete,197365
100000,Queue,Size,20
100000,Queue,IsEmpty,21
1000000,Queue,Enqueue,32
1000000,Queue,Dequeue,22
1000000,Queue,Front,63
1000000,Queue,Delete,2487890
1000000,Queue,Size,19
1000000,Queue,IsEmpty,19
10000000,Queue,Enqueue,118
10000000,Queue,Dequeue,22
10000000,Queue,Front,115
10000000,Queue,Delete,23101082
10000000,Queue,Size,19
10000000,Queue,IsEmpty,19
10,Stack,push,269
10,Stack,pop,61
10,Stack,peek,93
10,Stack,delete,282
10,Stack,size,60
10,Stack,isEmpty,62
100,Stack,push,176
100,Stack,pop,21
100,Stack,peek,22
100,Stack,delete,455
100,Stack,size,22
100,Stack,isEmpty,21
1000,Stack,push,146
1000,Stack,pop,22
1000,Stack,peek,21
1000,Stack,delete,9952
1000,Stack,size,21
1000,Stack,isEmpty,21
10000,Stack,push,151
10000,Stack,pop,21
10000,Stack,peek,22
10000,Stack,delete,13741
10000,Stack,size,19
10000,Stack,isEmpty,20
100000,Stack,push,145
100000,Stack,pop,21
100000,Stack,peek,26
100000,Stack,delete,93408
100000,Stack,size,19
100000,Stack,isEmpty,19
1000000,Stack,push,32
1000000,Stack,pop,20
1000000,Stack,peek,19
1000000,Stack,delete,771023
1000000,Stack,size,19
1000000,Stack,isEmpty,21
10000000,Stack,push,117
10000000,Stack,pop,20
10000000,Stack,peek,19
10000000,Stack,delete,15599982
10000000,Stack,size,20
10000000,Stack,isEmpty,19